Vendor,Vendor SKU,Link,Price,Shape,Carat Weight,Color Grade,Cut Grade,Clarity Grade,Grading Lab,Cert Number,Origin,Depth,Table,Polish,Symmetry
Blue Nile,13111759,https://www.bluenile.com/diamond-details/13111759,230,Round,0.3,K,Excellent,VS2,GIA,,Mined,62.3,56,VG,VG
Blue Nile,28666267,https://www.bluenile.com/diamond-details/28666267,270,Round,0.3,K,Very Good,VVS2,GIA,,Mined,63.2,57,EX,GD
Blue Nile,26434708,https://www.bluenile.com/diamond-details/26434708,290,Round,0.3,K,Excellent,SI2,GIA,,Mined,62,56,EX,EX
Blue Nile,23011675,https://www.bluenile.com/diamond-details/23011675,310,Round,0.31,K,Excellent,VVS2,GIA,,Mined,62.4,57,EX,EX
Blue Nile,23011680,https://www.bluenile.com/diamond-details/23011680,320,Round,0.32,K,Excellent,VVS2,GIA,,Mined,62.6,57,EX,EX
Blue Nile,23011646,https://www.bluenile.com/diamond-details/23011646,330,Round,0.3,K,Excellent,VVS1,GIA,,Mined,62.7,56,EX,EX
Blue Nile,28666188,https://www.bluenile.com/diamond-details/28666188,330,Round,0.33,K,Excellent,VVS1,GIA,,Mined,62.2,59,EX,EX
Blue Nile,27380976,https://www.bluenile.com/diamond-details/27380976,340,Round,0.33,J,Excellent,VVS1,GIA,,Mined,61.4,58,EX,VG
Blue Nile,24947737,https://www.bluenile.com/diamond-details/24947737,360,Round,0.35,F,Excellent,SI1,GIA,,Mined,61.2,58,EX,EX
Blue Nile,28646603,https://www.bluenile.com/diamond-details/28646603,360,Round,0.34,J,Excellent,VVS1,GIA,,Mined,62.3,57,EX,EX
Blue Nile,28354494,https://www.bluenile.com/diamond-details/28354494,370,Round,0.4,I,Excellent,SI1,GIA,,Mined,62.3,57,EX,EX
Blue Nile,22018971,https://www.bluenile.com/diamond-details/22018971,380,Round,0.4,H,Excellent,SI1,GIA,,Mined,62.6,56,EX,EX
Blue Nile,21562897,https://www.bluenile.com/diamond-details/21562897,320,Round,0.3,E,Very Good,SI2,GIA,,Mined,64.6,57,EX,VG
Blue Nile,22037260,https://www.bluenile.com/diamond-details/22037260,330,Round,0.31,E,Very Good,SI2,GIA,,Mined,62.4,57,GD,EX
Blue Nile,28646425,https://www.bluenile.com/diamond-details/28646425,340,Round,0.3,I,Very Good,VS1,GIA,,Mined,63.5,61,EX,EX
Blue Nile,12531445,https://www.bluenile.com/diamond-details/12531445,360,Round,0.33,K,Excellent,VS1,GIA,,Mined,62.6,58,EX,EX
Blue Nile,23090316,https://www.bluenile.com/diamond-details/23090316,370,Round,0.3,H,Excellent,VVS2,GIA,,Mined,61.1,61,EX,EX
Blue Nile,28164715,https://www.bluenile.com/diamond-details/28164715,380,Round,0.3,J,Excellent,VVS1,GIA,,Mined,62.4,58,EX,EX
Blue Nile,26603368,https://www.bluenile.com/diamond-details/26603368,380,Round,0.3,D,Very Good,VS1,GIA,,Mined,62.5,60,EX,VG
Blue Nile,28693246,https://www.bluenile.com/diamond-details/28693246,380,Round,0.3,F,Excellent,SI1,GIA,,Mined,61.9,57,EX,EX
Blue Nile,27116703,https://www.bluenile.com/diamond-details/27116703,390,Round,0.38,F,Excellent,SI1,GIA,,Mined,62.1,59,EX,EX
Blue Nile,28633941,https://www.bluenile.com/diamond-details/28633941,370,Round,0.3,E,Very Good,VS1,GIA,,Mined,63.1,57,VG,GD
Blue Nile,28651866,https://www.bluenile.com/diamond-details/28651866,380,Round,0.3,J,Excellent,VS1,GIA,,Mined,62.2,60,VG,EX
Blue Nile,24384301,https://www.bluenile.com/diamond-details/24384301,380,Round,0.4,K,Excellent,VS1,GIA,,Mined,61.7,55,VG,VG
Blue Nile,25615295,https://www.bluenile.com/diamond-details/25615295,390,Round,0.38,F,Excellent,SI2,GIA,,Mined,62,59,EX,EX
Blue Nile,17191707,https://www.bluenile.com/diamond-details/17191707,390,Round,0.23,F,Excellent,VVS2,GIA,,Mined,61.8,59,EX,EX
Blue Nile,16057692,https://www.bluenile.com/diamond-details/16057692,390,Round,0.27,H,Excellent,VVS1,GIA,,Mined,62.7,55,EX,EX
Blue Nile,24459075,https://www.bluenile.com/diamond-details/24459075,400,Round,0.32,D,Very Good,VS1,GIA,,Mined,63.2,55,EX,EX
Blue Nile,26850079,https://www.bluenile.com/diamond-details/26850079,400,Round,0.35,J,Excellent,SI2,GIA,,Mined,61.3,59,EX,EX
