Vendor,Vendor SKU,Link,Price,Shape,Carat Weight,Color Grade,Cut Grade,Clarity Grade,Grading Lab,Origin
Brilliant Earth,MO9X7OV1,https://www.brilliantearth.com/9x7mm-Super-Premium-Oval-Moissanite-MO9X7OV1/,1190,Oval,2.2,white,,VVS,,Lab Grown
Brilliant Earth,EMLC9X7EC3,https://www.brilliantearth.com/9x7mm-Lab-Grown-Emerald-EMLC9X7EC3/,1790,Emerald,2.05,green,,Eye Clean,,Lab Grown
Brilliant Earth,RYLC8.0RD3,https://www.brilliantearth.com/8mm-Round-Lab-Grown-Ruby-RYLC8.0RD3/,1890,Round,2.7,red,,Eye Clean,,Lab Grown
Brilliant Earth,ALLC9X6PS3,https://www.brilliantearth.com/9x6mm-Color-Change-Pear-Lab-Grown-Alexandrite-ALLC9X6PS3/,1390,Pear,1.62,purple,,Eye Clean,,Lab Grown
Brilliant Earth,MGMZ9X7OV3,https://www.brilliantearth.com/9x7mm-Peach-Oval-Morganite-MGMZ9X7OV3/,790,Oval,1.54,peach,,Eye Clean,,Lab Grown
Brilliant Earth,EMZA5.0RD2,https://www.brilliantearth.com/5mm-Premium-Round-Emerald-EMZA5.0RD2/,1650,Round,0.41,green,,Slightly Included,,Lab Grown
Brilliant Earth,AQBZ9X7EC3,https://www.brilliantearth.com/9x7mm-Fine-Emerald-Aquamarine-AQBZ9X7EC3/,1090,Emerald,2.09,blue,,Eye Clean,,Lab Grown
Brilliant Earth,MO8.0RD1,https://www.brilliantearth.com/8mm-Super-Premium-Round-Moissanite-MO8.0RD1/,1190,Round,1.64,white,,VVS,,Lab Grown
Brilliant Earth,SBLC9X7OV3,https://www.brilliantearth.com/9x7mm-Blue-Oval-Lab-Grown-Sapphire-SBLC9X7OV3/,1490,Oval,2.6,blue,,Eye Clean,,Lab Grown
Brilliant Earth,MO9X7EC1,https://www.brilliantearth.com/9x7mm-Super-Premium-Emerald-Moissanite-MO9X7EC1/,1890,Emerald,2.5,white,,VVS,,Lab Grown
Brilliant Earth,SPINTLC9X7OV3,https://www.brilliantearth.com/9x7mm-Teal-Oval-Lab-Grown-Spinel-SPINTLC9X7OV3/,950,Oval,2.47,teal,,Eye Clean,,Lab Grown
Brilliant Earth,MO8.0CU1,https://www.brilliantearth.com/8mm-Super-Premium-Cushion-Moissanite-MO8.0CU1/,1450,Cushion,2.2,white,,VVS,,Lab Grown
Brilliant Earth,AQBZ8.0RD3,https://www.brilliantearth.com/8mm-Fine-Round-Aquamarine-AQBZ8.0RD3/,950,Round,1.67,blue,,Eye Clean,,Lab Grown
Brilliant Earth,RYLC9X6PS3,https://www.brilliantearth.com/9x6mm-Pear-Lab-Grown-Ruby-RYLC9X6PS3/,1490,Pear,1.9,red,,Eye Clean,,Lab Grown
Brilliant Earth,MGBZ9.0RD2,https://www.brilliantearth.com/9mm-Premium-Pink-Round-Morganite-MGBZ9.0RD2/,1250,Round,2.33,pink,,Eye Clean,,Lab Grown
Brilliant Earth,MO11X5.5MQ1,https://www.brilliantearth.com/11x5.5mm-Super-Premium-Marquise-Moissanite-MO11X5.5MQ1/,1290,Marquise,1.27,white,,VVS,,Lab Grown
Brilliant Earth,SBLC8X6EC3,https://www.brilliantearth.com/8x6mm-Blue-Emerald-Lab-Grown-Sapphire-SBLC8X6EC3/,1050,Emerald,1.88,blue,,Eye Clean,,Lab Grown
Brilliant Earth,MO10X7PS1,https://www.brilliantearth.com/10x7mm-Super-Premium-Pear-Moissanite-MO10X7PS1/,1550,Pear,2,white,,VVS,,Lab Grown
Brilliant Earth,ALLC7.0RD3,https://www.brilliantearth.com/7mm-Color-Change-Round-Lab-Grown-Alexandrite-ALLC7.0RD3/,1150,Round,1.8,purple,,Eye Clean,,Lab Grown
Brilliant Earth,EMLC10X7OV3,https://www.brilliantearth.com/10x7mm-Oval-Lab-Grown-Emerald-EMLC10X7OV3/,1590,Oval,1.85,green,,Eye Clean,,Lab Grown
Brilliant Earth,SBLC8X5PS3,https://www.brilliantearth.com/8x5mm-Blue-Pear-Lab-Grown-Sapphire-SBLC8X5PS3/,950,Pear,1.18,blue,,Eye Clean,,Lab Grown
Brilliant Earth,MO10X8RA1,https://www.brilliantearth.com/10x8mm-Super-Premium-Radiant-Moissanite-MO10X8RA1/,2750,Radiant,3.35,white,,VVS,,Lab Grown
Brilliant Earth,LBTBZ8X6OV3,https://www.brilliantearth.com/8x6mm-London-Blue-Oval-Topaz-LBTBZ8X6OV3/,475,Oval,1.48,blue,,Eye Clean,,Lab Grown
Brilliant Earth,SBLC10.0CU3,https://www.brilliantearth.com/10mm-Blue-Cushion-Lab-Grown-Sapphire-SBLC10.0CU3/,2250,Cushion,5.83,blue,,Eye Clean,,Lab Grown
Brilliant Earth,MOG9X7EC3,https://www.brilliantearth.com/9x7mm-Green-Emerald-Moissanite-MOG9X7EC3/,1590,Emerald,2.47,green,,VVS,,Lab Grown
Brilliant Earth,EMLC10X7PS3,https://www.brilliantearth.com/10x7mm-Pear-Lab-Grown-Emerald-EMLC10X7PS3/,1650,Pear,1.59,green,,Eye Clean,,Lab Grown
Brilliant Earth,SBLC8X6RA3,https://www.brilliantearth.com/8x6mm-Blue-Radiant-Lab-Grown-Sapphire-SBLC8X6RA3/,1290,Radiant,1.9,blue,,Eye Clean,,Lab Grown
Brilliant Earth,MO14X7MQ1,https://www.brilliantearth.com/14x7mm-Super-Premium-Marquise-Moissanite-MO14X7MQ1/,2150,Marquise,2.56,white,,VVS,,Lab Grown
Brilliant Earth,MGMZ10X8OV3,https://www.brilliantearth.com/10x8mm-Peach-Oval-Morganite-MGMZ10X8OV3/,1050,Oval,1.99,peach,,Eye Clean,,Lab Grown
Brilliant Earth,AQBZ9X7OV3,https://www.brilliantearth.com/9x7mm-Fine-Oval-Aquamarine-AQBZ9X7OV3/,890,Oval,1.65,blue,,Eye Clean,,Lab Grown
Brilliant Earth,SBSL7.0RD1,https://www.brilliantearth.com/7mm-Super-Premium-Blue-Round-Sapphire-SBSL7.0RD1/,4290,Round,1.5,blue,,Eye Clean,,Lab Grown
Brilliant Earth,SBSL6X5.9CU3_4,https://www.brilliantearth.com/6x5.9mm-Blue-Cushion-Sapphire-SBSL6X5.9CU3_4/,2400,Cushion,1.26,blue,,Eye Clean,,Lab Grown
Brilliant Earth,MO9.0RD1,https://www.brilliantearth.com/9mm-Super-Premium-Round-Moissanite-MO9.0RD1/,1850,Round,2.3,white,,VVS,,Lab Grown
Brilliant Earth,STMT6.0RD3,https://www.brilliantearth.com/6mm-Teal-Round-Montana-Sapphire-STMT6.0RD3/,2550,Round,0.9,teal,,Eye Clean,,Lab Grown
Brilliant Earth,AQBZ14.9X12OV2_1,https://www.brilliantearth.com/14.9x12mm-Premium-Oval-Aquamarine-AQBZ14.9X12OV2_1/,6100,Oval,7.96,blue,,Eye Clean,,Lab Grown
Brilliant Earth,SLPLC10X8EC3,https://www.brilliantearth.com/10x8mm-Light-Pink-Emerald-Lab-Grown-Sapphire-SLPLC10X8EC3/,1390,Emerald,4.21,pink,,Eye Clean,,Lab Grown
Brilliant Earth,MGMZ8.0CU3,https://www.brilliantearth.com/8mm-Peach-Cushion-Morganite-MGMZ8.0CU3/,850,Cushion,1.75,peach,,Eye Clean,,Lab Grown
Brilliant Earth,MOG7.0RD3,https://www.brilliantearth.com/7mm-Green-Round-Moissanite-MOG7.0RD3/,790,Round,1.15,green,,VVS,,Lab Grown
Brilliant Earth,SBMT5.0RD3_9,https://www.brilliantearth.com/5mm-Blue-Round-Montana-Sapphire-SBMT5.0RD3_9/,2300,Round,0.57,blue,,Eye Clean,,Lab Grown
Brilliant Earth,EMCO8.2X8.1CU3_1,https://www.brilliantearth.com/8.2x8.1mm-Cushion-Colombian-Emerald-EMCO8.2X8.1CU3_1/,6850,Cushion,1.89,green,,Slightly Included,,Lab Grown
