Vendor,Vendor SKU,Link,Price,Shape,Carat Weight,Color Grade,Cut Grade,Clarity Grade,Grading Lab,Origin
Charles & Colvard,446102,https://www.charlesandcolvard.com/forever-one-1-00ctw-round-colorless-moissanite-gemstone-446103-100178-zz-zzz-zz-rd-m-0100,305.2,Round,1,DEF,Brilliant,,,Lab Grown
Charles & Colvard,447890,https://www.charlesandcolvard.com/forever-one-1-00ctw-round-colorless-moissanite-gemstone-446103-100178-zz-zzz-zz-rd-m-0100,238.7,Round,1,GH,Brilliant,,,Lab Grown
Charles & Colvard,445353,https://www.charlesandcolvard.com/forever-one-2-28ctw-hearts-arrows-cushion-colorless-moissanite-gemstone-101080-zz-zzz-zz-cu-m-0228,1130.5,Cushion,2.28,DEF,Hearts  Arrows,,,Lab Grown
Charles & Colvard,614351,https://www.charlesandcolvard.com/forever-one-2-28ctw-hearts-arrows-cushion-colorless-moissanite-gemstone-101080-zz-zzz-zz-cu-m-0228,931.7,Cushion,2.28,GH,Hearts  Arrows,,,Lab Grown
Charles & Colvard,462330,https://www.charlesandcolvard.com/forever-one-3-00ctw-oval-colorless-moissanite-gemstone-462396-100181-zz-zzz-zz-ov-m-0300,1278.9,Oval,3,DEF,Brilliant,,,Lab Grown
Charles & Colvard,462400,https://www.charlesandcolvard.com/forever-one-3-00ctw-oval-colorless-moissanite-gemstone-462396-100181-zz-zzz-zz-ov-m-0300,1082.2,Oval,3,GH,Brilliant,,,Lab Grown
Charles & Colvard,518476,https://www.charlesandcolvard.com/forever-one-2-10ctw-pear-colorless-moissanite-gemstone-518527-100382-zz-zzz-zz-pr-m-0210,1034.6,Pear,2.1,DEF,Brilliant,,,Lab Grown
Charles & Colvard,518532,https://www.charlesandcolvard.com/forever-one-2-10ctw-pear-colorless-moissanite-gemstone-518527-100382-zz-zzz-zz-pr-m-0210,861,Pear,2.1,GH,Brilliant,,,Lab Grown
Charles & Colvard,518719,https://www.charlesandcolvard.com/forever-one-1-80ctw-heart-shape-colorless-moissanite-gemstone-100511-zz-zzz-zz-hr-m-0180,764.4,Heart,1.8,DEF,Brilliant,,,Lab Grown
Charles & Colvard,518783,https://www.charlesandcolvard.com/forever-one-1-80ctw-heart-shape-colorless-moissanite-gemstone-100511-zz-zzz-zz-hr-m-0180,634.9,Heart,1.8,GH,Brilliant,,,Lab Grown
Charles & Colvard,445329,https://www.charlesandcolvard.com/forever-one-2-26ctw-hearts-arrows-colorless-moissanite-gemstone-448900-100384-zz-zzz-zz-rd-m-0226,995.4,Round,2.26,DEF,Hearts  Arrows,,,Lab Grown
Charles & Colvard,448989,https://www.charlesandcolvard.com/forever-one-2-26ctw-hearts-arrows-colorless-moissanite-gemstone-448900-100384-zz-zzz-zz-rd-m-0226,822.5,Round,2.26,GH,Hearts  Arrows,,,Lab Grown
Charles & Colvard,446109,https://www.charlesandcolvard.com/forever-one-3-60ctw-round-colorless-moissanite-gemstone-446110-100178-zz-zzz-zz-rd-m-0360,1325.8,Round,3.6,DEF,Brilliant,,,Lab Grown
Charles & Colvard,447897,https://www.charlesandcolvard.com/forever-one-3-60ctw-round-colorless-moissanite-gemstone-446110-100178-zz-zzz-zz-rd-m-0360,1076.6,Round,3.6,GH,Brilliant,,,Lab Grown
Charles & Colvard,518272,https://www.charlesandcolvard.com/forever-one-3-55ctw-emerald-colorless-moissanite-gemstone-518316-100381-zz-zzz-zz-em-m-0355,1524.6,Emerald,3.55,DEF,Step,,,Lab Grown
