Vendor,Vendor SKU,Link,Price,Shape,Carat Weight,Color Grade,Cut Grade,Clarity Grade,Grading Lab,Origin
Clean Origin,1488602,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-c914485dfff1/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488601,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-66f8e55b25d6/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488599,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-2f8a32b54be7/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488598,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-a02d1fdc891b/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488597,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-425726a25a52/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488596,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-9d787a76b0c1/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488595,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-836962d780b0/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488594,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-09ba81df8b0f/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488593,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-85fb441670c1/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488592,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-a239e866a264/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488591,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-1f451eaeaa2d/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488590,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-ce5895f4b9e8/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488589,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-1f6a0cfd1939/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488588,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-e0e727db5239/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488587,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-273b29435894/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488586,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-e397ab045323/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488585,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-c6312bff3aa4/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488584,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-00142860f315/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488583,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-eb31d3ea0d6a/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488582,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-d067afae00e6/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488581,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-6dda716f676b/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488580,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-ca5ff14ae960/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488579,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-91c056f91b49/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488578,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-535e783d1115/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488577,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-026124a5e189/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488576,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-89bf24cd8e29/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488575,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-a6b7d12b43d9/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488574,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-708eb03c4109/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488573,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-a24aeba66ad9/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488572,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-f84ab03ffb6a/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488571,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-5a4d007a8640/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
Clean Origin,1488570,https://www.cleanorigin.com/diamonds/oval-lab-grown-diamond-0ea19fc8c76a/,440,Oval,1,D,Excellent,VS2,IGI,Lab Grown
