Vendor,Vendor SKU,Link,Price,Shape,Carat Weight,Color Grade,Cut Grade,Clarity Grade,Grading Lab,Origin
James Allen,28612623,https://www.jamesallen.com/loose-diamonds/round-cut/0.29-carat-d-color-vs2-clarity-very-good-cut-sku-28612623,220,Round,0.29,D,Very Good,VS2,IGI,Lab Grown
James Allen,28612741,https://www.jamesallen.com/loose-diamonds/round-cut/0.29-carat-d-color-vvs2-clarity-good-cut-sku-28612741,240,Round,0.29,D,Good,VVS2,IGI,Lab Grown
James Allen,23784189,https://www.jamesallen.com/loose-diamonds/round-cut/0.31-carat-d-color-si1-clarity-ideal-cut-sku-23784189,240,Round,0.31,D,Ideal,SI1,IGI,Lab Grown
James Allen,27973699,https://www.jamesallen.com/loose-diamonds/round-cut/0.32-carat-e-color-vs2-clarity-ideal-cut-sku-27973699,250,Round,0.32,E,Ideal,VS2,IGI,Lab Grown
James Allen,28654866,https://www.jamesallen.com/loose-diamonds/round-cut/0.30-carat-d-color-vs2-clarity-ideal-cut-sku-28654866,250,Round,0.30,D,Ideal,VS2,IGI,Lab Grown
James Allen,28600418,https://www.jamesallen.com/loose-diamonds/round-cut/0.31-carat-d-color-vs2-clarity-ideal-cut-sku-28600418,250,Round,0.31,D,Ideal,VS2,IGI,Lab Grown
James Allen,28617212,https://www.jamesallen.com/loose-diamonds/round-cut/0.31-carat-d-color-vs2-clarity-ideal-cut-sku-28617212,250,Round,0.31,D,Ideal,VS2,IGI,Lab Grown
James Allen,24217228,https://www.jamesallen.com/loose-diamonds/round-cut/0.32-carat-d-color-si1-clarity-excellent-cut-sku-24217228,260,Round,0.32,D,Excellent,SI1,IGI,Lab Grown
James Allen,28483813,https://www.jamesallen.com/loose-diamonds/round-cut/0.33-carat-e-color-vs2-clarity-ideal-cut-sku-28483813,260,Round,0.33,E,Ideal,VS2,IGI,Lab Grown
James Allen,28530495,https://www.jamesallen.com/loose-diamonds/round-cut/0.33-carat-e-color-vs2-clarity-ideal-cut-sku-28530495,260,Round,0.33,E,Ideal,VS2,IGI,Lab Grown
James Allen,28654928,https://www.jamesallen.com/loose-diamonds/round-cut/0.32-carat-d-color-vs2-clarity-ideal-cut-sku-28654928,260,Round,0.32,D,Ideal,VS2,IGI,Lab Grown
James Allen,28600687,https://www.jamesallen.com/loose-diamonds/round-cut/0.32-carat-d-color-vs2-clarity-ideal-cut-sku-28600687,260,Round,0.32,D,Ideal,VS2,IGI,Lab Grown
James Allen,28433916,https://www.jamesallen.com/loose-diamonds/round-cut/0.33-carat-e-color-vs2-clarity-ideal-cut-sku-28433916,260,Round,0.33,E,Ideal,VS2,IGI,Lab Grown
James Allen,28616907,https://www.jamesallen.com/loose-diamonds/round-cut/0.32-carat-d-color-vs2-clarity-ideal-cut-sku-28616907,260,Round,0.32,D,Ideal,VS2,IGI,Lab Grown
James Allen,28654871,https://www.jamesallen.com/loose-diamonds/round-cut/0.31-carat-d-color-vs1-clarity-ideal-cut-sku-28654871,260,Round,0.31,D,Ideal,VS1,IGI,Lab Grown
James Allen,28654359,https://www.jamesallen.com/loose-diamonds/round-cut/0.31-carat-d-color-vs1-clarity-ideal-cut-sku-28654359,260,Round,0.31,D,Ideal,VS1,IGI,Lab Grown
James Allen,28654940,https://www.jamesallen.com/loose-diamonds/round-cut/0.31-carat-e-color-vs1-clarity-ideal-cut-sku-28654940,260,Round,0.31,E,Ideal,VS1,IGI,Lab Grown
James Allen,28654954,https://www.jamesallen.com/loose-diamonds/round-cut/0.30-carat-d-color-vs1-clarity-ideal-cut-sku-28654954,260,Round,0.30,D,Ideal,VS1,IGI,Lab Grown
James Allen,28655111,https://www.jamesallen.com/loose-diamonds/round-cut/0.30-carat-d-color-vs1-clarity-excellent-cut-sku-28655111,260,Round,0.30,D,Excellent,VS1,IGI,Lab Grown
James Allen,28655042,https://www.jamesallen.com/loose-diamonds/round-cut/0.31-carat-d-color-vs1-clarity-excellent-cut-sku-28655042,260,Round,0.31,D,Excellent,VS1,IGI,Lab Grown
James Allen,28654930,https://www.jamesallen.com/loose-diamonds/round-cut/0.30-carat-d-color-vs1-clarity-ideal-cut-sku-28654930,260,Round,0.30,D,Ideal,VS1,IGI,Lab Grown
James Allen,28654139,https://www.jamesallen.com/loose-diamonds/round-cut/0.30-carat-d-color-vs1-clarity-ideal-cut-sku-28654139,260,Round,0.30,D,Ideal,VS1,IGI,Lab Grown
James Allen,28627508,https://www.jamesallen.com/loose-diamonds/round-cut/0.31-carat-d-color-vs1-clarity-ideal-cut-sku-28627508,260,Round,0.31,D,Ideal,VS1,IGI,Lab Grown
James Allen,22413064,https://www.jamesallen.com/loose-diamonds/round-cut/0.35-carat-d-color-si1-clarity-ideal-cut-sku-22413064,270,Round,0.35,D,Ideal,SI1,IGI,Lab Grown
James Allen,24650117,https://www.jamesallen.com/loose-diamonds/round-cut/0.35-carat-d-color-si1-clarity-ideal-cut-sku-24650117,270,Round,0.35,D,Ideal,SI1,IGI,Lab Grown
James Allen,22795153,https://www.jamesallen.com/loose-diamonds/round-cut/0.35-carat-d-color-si1-clarity-ideal-cut-sku-22795153,270,Round,0.35,D,Ideal,SI1,IGI,Lab Grown
James Allen,27802790,https://www.jamesallen.com/loose-diamonds/round-cut/0.33-carat-d-color-vs2-clarity-ideal-cut-sku-27802790,270,Round,0.33,D,Ideal,VS2,IGI,Lab Grown
James Allen,28242162,https://www.jamesallen.com/loose-diamonds/round-cut/0.33-carat-d-color-vs2-clarity-ideal-cut-sku-28242162,270,Round,0.33,D,Ideal,VS2,IGI,Lab Grown
James Allen,28654398,https://www.jamesallen.com/loose-diamonds/round-cut/0.33-carat-d-color-vs2-clarity-ideal-cut-sku-28654398,270,Round,0.33,D,Ideal,VS2,IGI,Lab Grown
James Allen,27174125,https://www.jamesallen.com/loose-diamonds/round-cut/0.33-carat-d-color-vs2-clarity-ideal-cut-sku-27174125,270,Round,0.33,D,Ideal,VS2,IGI,Lab Grown
James Allen,28406633,https://www.jamesallen.com/loose-diamonds/round-cut/0.33-carat-d-color-vs2-clarity-ideal-cut-sku-28406633,270,Round,0.33,D,Ideal,VS2,IGI,Lab Grown
James Allen,28627493,https://www.jamesallen.com/loose-diamonds/round-cut/0.33-carat-d-color-vs2-clarity-ideal-cut-sku-28627493,270,Round,0.33,D,Ideal,VS2,IGI,Lab Grown
James Allen,10313499,https://www.jamesallen.com/loose-diamonds/cushion-cut/0.70-carat-d-color-vs2-clarity-sku-10313499,560,Cushion,0.70,D,Very Good,VS2,GIA,Lab Grown
James Allen,15772843,https://www.jamesallen.com/loose-diamonds/round-cut/0.70-carat-d-color-vs1-clarity-very-good-cut-sku-15772843,500,Round,0.70,D,Very Good,VS1,GIA,Lab Grown
James Allen,15821375,https://www.jamesallen.com/loose-diamonds/round-cut/0.72-carat-d-color-vvs1-clarity-good-cut-sku-15821375,550,Round,0.72,D,Good,VVS1,GIA,Lab Grown
James Allen,16134575,https://www.jamesallen.com/loose-diamonds/round-cut/0.72-carat-d-color-vs2-clarity-very-good-cut-sku-16134575,500,Round,0.72,D,Very Good,VS2,GIA,Lab Grown
James Allen,16302661,https://www.jamesallen.com/loose-diamonds/round-cut/0.72-carat-d-color-vs2-clarity-very-good-cut-sku-16302661,500,Round,0.72,D,Very Good,VS2,GIA,Lab Grown
James Allen,18016062,https://www.jamesallen.com/loose-diamonds/octagon-cut/0.60-carat-g-color-vvs2-clarity-sku-18016062,560,,0.60,G,Ideal,VVS2,IGI,Lab Grown
James Allen,8956894,https://www.jamesallen.com/loose-diamonds/pear-shaped/0.48-carat-f-color-vs2-clarity-sku-8956894,500,Pear,0.48,F,Excellent,VS2,GCAL,Lab Grown
James Allen,8957095,https://www.jamesallen.com/loose-diamonds/pear-shaped/0.46-carat-f-color-vs1-clarity-sku-8957095,500,Pear,0.46,F,Very Good,VS1,GCAL,Lab Grown
James Allen,27303228,https://www.jamesallen.com/loose-diamonds/round-cut/0.53-carat-d-color-vvs1-clarity-ideal-cut-sku-27303228,500,Round,0.53,D,Ideal,VVS1,IGI,Lab Grown
James Allen,20146140,https://www.jamesallen.com/loose-diamonds/pear-shaped/0.45-carat-d-color-si1-clarity-sku-20146140,500,Pear,0.45,D,Good,SI1,IGI,Lab Grown
James Allen,28022253,https://www.jamesallen.com/loose-diamonds/oval-cut/0.48-carat-d-color-vvs2-clarity-sku-28022253,500,Oval,0.48,D,Very Good,VVS2,IGI,Lab Grown
James Allen,28641141,https://www.jamesallen.com/loose-diamonds/round-cut/0.58-carat-d-color-vvs2-clarity-ideal-cut-sku-28641141,500,Round,0.58,D,Ideal,VVS2,IGI,Lab Grown
James Allen,28641664,https://www.jamesallen.com/loose-diamonds/round-cut/0.58-carat-d-color-vvs2-clarity-ideal-cut-sku-28641664,500,Round,0.58,D,Ideal,VVS2,IGI,Lab Grown
James Allen,28377520,https://www.jamesallen.com/loose-diamonds/round-cut/0.58-carat-d-color-vvs2-clarity-ideal-cut-sku-28377520,500,Round,0.58,D,Ideal,VVS2,IGI,Lab Grown
James Allen,28378003,https://www.jamesallen.com/loose-diamonds/round-cut/0.58-carat-d-color-vvs2-clarity-ideal-cut-sku-28378003,500,Round,0.58,D,Ideal,VVS2,IGI,Lab Grown
James Allen,28641677,https://www.jamesallen.com/loose-diamonds/round-cut/0.53-carat-d-color-vvs1-clarity-ideal-cut-sku-28641677,500,Round,0.53,D,Ideal,VVS1,IGI,Lab Grown
James Allen,28641172,https://www.jamesallen.com/loose-diamonds/round-cut/0.52-carat-d-color-vvs1-clarity-ideal-cut-sku-28641172,500,Round,0.52,D,Ideal,VVS1,IGI,Lab Grown
James Allen,28641004,https://www.jamesallen.com/loose-diamonds/round-cut/0.53-carat-d-color-vvs1-clarity-ideal-cut-sku-28641004,500,Round,0.53,D,Ideal,VVS1,IGI,Lab Grown
James Allen,28641386,https://www.jamesallen.com/loose-diamonds/round-cut/0.52-carat-d-color-vvs1-clarity-ideal-cut-sku-28641386,500,Round,0.52,D,Ideal,VVS1,IGI,Lab Grown
James Allen,28641154,https://www.jamesallen.com/loose-diamonds/round-cut/0.52-carat-d-color-vvs1-clarity-ideal-cut-sku-28641154,500,Round,0.52,D,Ideal,VVS1,IGI,Lab Grown
